positionName,positionType,workLocation,salary,experienceRequirements,educationRequirements
Golang开发工程师(XSS、网络安全方向),golang,天河区,13000-25000,3-5年,本科
Golang,golang,天河区,18000-25000,3-5年,本科
Golang开发工程师,golang,天河区,15000-25000,3-5年,本科
golang开发工程师（地铁上盖+包吃）,golang,天河区,15000-25000,3-5年,本科
高级游戏服务器开发工程师,golang,天河区,20000-35000,3-5年,本科
游戏服务器开发工程师,golang,天河区,30000-45000,3-5年,本科
向量检索平台开发工程师,golang,天河区,15000-25000,3-5年,本科
后端,golang,白云区,10000-15000,3-5年,大专
核心网开发工程师,golang,黄埔区,12000-22000,3-5年,本科
资深golang开发工程师,golang,越秀区,15000-18000,3-5年,本科
高级go开发工程师,golang,天河区,15000-26000,3-5年,本科
云原生开发工程师（需全英沟通）,golang,海珠区,20000-25000,3-5年,本科
高级游戏服务端开发工程师,golang,天河区,15000-23000,3-5年,本科
后台开发（golang）,golang,黄埔区,15000-25000,3-5年,本科
中级erlang游戏开发,golang,天河区,15000-20000,3-5年,大专
Golang,golang,天河区,15000-22000,3-5年,本科
go开发工程师,golang,广州,13000-25000,3-5年,大专
网络安全底层Golang开发工程师,golang,越秀区,13000-20000,3-5年,本科
资深后端开发工程师--飞书人事(广州),golang,海珠区,35000-65000,3-5年,本科
后端开发组长（社交产品方向）,golang,天河区,20000-30000,3-5年,大专
golang开发,golang,番禺区,15000-30000,3-5年,大专
服务端研发工程师-国际直播,golang,海珠区,30000-60000,3-5年,本科
游戏服务端开发（GO）,golang,天河区,15000-20000,3-5年,本科
golang开发,golang,天河区,14000-26000,3-5年,本科
高级服务端开发工程师,golang,番禺区,20000-35000,3-5年,本科
后端开发工程师,golang,天河区,18000-30000,3-5年,本科
Golang开发工程师,golang,天河区,10000-15000,3-5年,本科
erlang服务端开发工程师,golang,广州,21000-26000,3-5年,本科
golang开发工程师,golang,番禺区,15000-22000,3-5年,本科
go研发工程师,golang,天河区,15000-20000,3-5年,本科
Golang,golang,海珠区,13000-16000,3-5年,本科
云平台开发（多云管理）,golang,广州,20000-35000,3-5年,本科
中级golang开发工程师,golang,越秀区,10000-15000,3-5年,本科
高级go开发工程师,golang,番禺区,11000-14000,3-5年,大专
Golang,golang,天河区,12000-20000,3-5年,本科
高级游戏服务端开发工程师,golang,天河区,10000-14000,3-5年,本科
GO研发经理,golang,广州,30000-35000,3-5年,本科
高级后端工程师,golang,天河区,15000-25000,3-5年,本科
高级后端工程师,golang,番禺区,12000-20000,3-5年,本科
容器开发,golang,广州,35000-60000,3-5年,本科
go后端开发工程师+双休近地铁,golang,番禺区,15000-20000,3-5年,大专
云原生工程师架构师,golang,海珠区,30000-50000,3-5年,本科
后端开发工程师-基础方向-飞书,golang,天河区,30000-35000,3-5年,本科
golang后端开发工程师,golang,黄埔区,10000-12000,3-5年,大专
GO研发经理,golang,广州,25000-35000,5-10年,本科
高级安全研发工程师（Golang方向）,golang,天河区,12000-20000,3-5年,本科
golang高级开发工程师,golang,天河区,20000-25000,3-5年,本科
Golang后端开发工程师,golang,天河区,10000-15000,1-3年,大专
Golang,golang,海珠区,15000-30000,3-5年,本科
云计算架构师,golang,广州,40000-70000,3-5年,本科
golang工程师,golang,番禺区,7000-11000,经验不限,本科
后端开发工程师,golang,番禺区,10000-13000,3-5年,本科
后端高级研发工程师,golang,黄埔区,12000-24000,3-5年,本科
Golang（居家远程办公或者兼职）,golang,天河区,12000-23000,5-10年,大专
Golang开发工程师,golang,番禺区,15000-25000,3-5年,本科
后台开发工程师,golang,花都区,6000-10000,1-3年,大专
Golang高级开发工程师,golang,番禺区,15000-30000,3-5年,本科
资深服务器,golang,天河区,12000-20000,经验不限,本科
资深后端研发工程师/架构师,golang,广州,40000-70000,5-10年,本科
golang高级开发工程师,golang,番禺区,20000-35000,1-3年,本科
golang开发工程师,golang,天河区,13000-18000,5-10年,本科
go开发工程师,golang,海珠区,12000-18000,3-5年,大专
Golang,golang,番禺区,20000-30000,3-5年,本科
研发专家-容器研发,golang,广州,40000-70000,5-10年,本科
Go后端开发工程师,golang,广州,12000-20000,3-5年,大专
研发专家（golang/java/python）,golang,广州,45000-75000,5-10年,本科
golang开发工程师,golang,天河区,20000-40000,3-5年,本科
高级工程师/技术专家,golang,天河区,30000-60000,3-5年,本科
Golang初级开发工程师,golang,天河区,10000-15000,1-3年,本科
云存储研发工程师,golang,黄埔区,20000-30000,3-5年,本科
【华为东莞总部】【OD】云计算工程师,golang,越秀区,15000-30000,1-3年,本科
后端开发专家（智能车联）,golang,番禺区,20000-40000,3-5年,本科
Golang开发工程师,golang,黄埔区,15000-30000,3-5年,本科
后端开发工程师-零代码/低代码团队,golang,广州,30000-60000,3-5年,本科
后台开发工程师,golang,天河区,10000-15000,3-5年,大专
高级 Go 开发工程师,golang,番禺区,20000-30000,3-5年,本科
资深golang开发工程师,golang,广州,25000-50000,5-10年,本科
GO开发工程师,golang,番禺区,12000-20000,3-5年,本科
游戏服务端工程师,golang,天河区,9000-14000,1年以内,本科
golang高级开发工程师,golang,广州,35000-65000,3-5年,本科
erlang工程师,golang,番禺区,12000-20000,1-3年,大专
后台开发工程师,golang,海珠区,20000-35000,经验不限,本科
golang高级开发工程师,golang,海珠区,15000-20000,5-10年,本科
Golang,golang,天河区,15000-20000,3-5年,本科
网关开发工程师,golang,海珠区,15000-25000,3-5年,本科
Golang开发工程师,golang,越秀区,10000-15000,1-3年,本科
高级开发工程师-天翼视联,golang,广州,20000-30000,5-10年,本科
交易系统开发工程师,golang,广州,35000-55000,5-10年,本科
Golang开发工程师,golang,番禺区,15000-20000,3-5年,本科
Golang,golang,天河区,13000-25000,3-5年,大专
Golang后端开发工程师,golang,天河区,18000-20000,3-5年,本科
技术架构师,golang,海珠区,25000-30000,3-5年,本科
Go服务器开发,golang,广州,30000-35000,5-10年,本科
Golang,golang,海珠区,20000-35000,3-5年,本科
研发专家（云计算）-广州,golang,广州,40000-70000,5-10年,本科
go开发工程师,golang,天河区,13000-22000,1-3年,本科
GO 开发工程师,golang,海珠区,15000-25000,3-5年,本科
高级GOlang开发工程师,golang,天河区,22000-40000,3-5年,大专
后端开发工程师（Golang）,golang,广州,10000-20000,3-5年,大专
Golang高级工程师,golang,番禺区,20000-30000,3-5年,本科
Golang/Nodejs,golang,广州,15000-30000,3-5年,本科
go服务器开发工程师,golang,番禺区,20000-35000,1-3年,本科
Golang,golang,广州,35000-45000,1-3年,本科
golang开发工程师,golang,天河区,14000-18000,3-5年,本科
golang高级开发工程师,golang,天河区,15000-30000,3-5年,本科
后端开发工程师(直播系统),golang,天河区,15000-22000,3-5年,本科
中高级GO开发工程师,golang,黄埔区,11000-20000,3-5年,大专
solidity工程师,golang,天河区,7000-12000,1-3年,本科
GO游戏服务器开发,golang,越秀区,15000-25000,3-5年,本科
资深golang开发工程师,golang,广州,30000-50000,5-10年,本科
高级后端开发工程师,golang,海珠区,30000-60000,3-5年,本科
GoLang高级工程师,golang,天河区,20000-30000,5-10年,大专
golang工程师,golang,增城区,8000-13000,3-5年,本科
golang高级开发工程师,golang,黄埔区,15000-25000,3-5年,本科
高级go开发工程师,golang,海珠区,20000-35000,3-5年,本科
高级golang开发工程师,golang,天河区,35000-65000,3-5年,学历不限
核心网开发工程师,golang,天河区,12000-24000,经验不限,本科
Golang,golang,天河区,15000-30000,3-5年,本科
GO后端开发,golang,天河区,15000-20000,3-5年,大专
高级Golang语言工程师,golang,天河区,15000-30000,3-5年,本科
golang高级开发工程师(游戏研发),golang,天河区,24000-40000,5-10年,本科
后端工程师(golang),golang,广州,10000-15000,3-5年,本科
游戏服务器开发（雪中悍刀行）-腾娱互动,golang,海珠区,12000-24000,1-3年,本科
Go高级开发工程师,golang,番禺区,12000-24000,5-10年,本科
GO开发工程师,golang,黄埔区,11000-20000,1-3年,本科
golang后端开发工程师,golang,天河区,13000-26000,1-3年,本科
golang高级开发工程师,golang,天河区,25000-40000,5-10年,本科
GO/C++后端开发工程师,golang,番禺区,25000-40000,5-10年,大专
GOLANG开发工程师（中高级）,golang,番禺区,15000-25000,5-10年,本科
golang后端开发工程师,golang,白云区,8000-13000,1-3年,本科
Golang 开发,golang,海珠区,16000-19000,5-10年,本科
golang高级开发工程师,golang,天河区,30000-50000,5-10年,本科
golang开发工程师,golang,黄埔区,9000-12000,1-3年,大专
Golang 工程师,golang,海珠区,5000-10000,经验不限,大专
web3合约开发工程师,golang,番禺区,12000-24000,1-3年,本科
后台开发工程师,golang,番禺区,20000-40000,1-3年,本科
Golang主程,golang,海珠区,30000-40000,5-10年,本科
虚拟化（研发专家）,golang,广州,50000-70000,10年以上,本科
游戏后台开发,golang,天河区,7000-10000,1-3年,大专
后端开发,golang,海珠区,8000-9000,1-3年,本科
后端开发,golang,天河区,12000-18000,1-3年,本科
Golang 资深开发（合约交易/撮合）,golang,广州,40000-65000,5-10年,本科
初级golang开发工程师,golang,黄埔区,9000-14000,1-3年,本科
游戏服务器,golang,天河区,11000-15000,1-3年,大专
Golang 开发工程师,golang,南沙区,10000-15000,经验不限,本科
GO研发经理（上市连锁医药行业）,golang,广州,25000-30000,5-10年,本科
系统研发工程师,golang,海珠区,30000-50000,经验不限,本科
GO研发经理,golang,越秀区,25000-30000,5-10年,本科
go后端开发工程师,golang,天河区,10000-15000,1-3年,本科
GO开发工程师,golang,天河区,7000-10000,1-3年,大专
go服务器开发,golang,广州,40000-70000,5-10年,本科
国企-向量检索平台开发工程师,golang,广州,20000-40000,5-10年,本科
go开发经理,golang,广州,30000-40000,5-10年,本科
云原生中间件技术专家,golang,广州,60000-90000,10年以上,本科
服务端开发,golang,广州,25000-40000,5-10年,本科
go开发工程师,golang,海珠区,11000-17000,1-3年,大专
Golang工程师,golang,天河区,10000-15000,1-3年,本科
后端开发工程师,golang,黄埔区,9000-14000,1-3年,本科
容器专家/lead-广州成都,golang,广州,35000-60000,5-10年,本科
后端go开发工程师,golang,番禺区,15000-30000,5-10年,大专
技术负责人,golang,天河区,15000-25000,5-10年,本科
业务策略开发工程师,golang,天河区,15000-30000,经验不限,本科
Golang,golang,天河区,17000-20000,1-3年,本科
Golang游戏后端开发,golang,番禺区,11000-20000,3-5年,学历不限
Golang技术经理,golang,广州,30000-50000,5-10年,本科
高级容器研发工程师,golang,广州,25000-50000,5-10年,本科
go研发经理,golang,广州,25000-40000,5-10年,本科
后端开发总监,golang,广州,60000-90000,10年以上,本科
后端开发工程师,golang,天河区,7000-12000,1-3年,大专
资深golang开发工程师,golang,广州,20000-35000,5-10年,本科
golang服务器工程师,golang,天河区,12000-18000,1-3年,大专
golang高级开发工程师,golang,海珠区,11000-16000,5-10年,本科
后台研发工程师,golang,越秀区,15000-18000,1-3年,本科
服务器主程,golang,广州,40000-70000,5-10年,本科
Golang,golang,白云区,15000-16000,1-3年,本科
【外企远程 AI业务 远程】后端高级工程师,golang,越秀区,30000-50000,5-10年,本科
MQTT后台开发工程师,golang,番禺区,15000-30000,1-3年,本科
Golang,golang,天河区,15000-18000,经验不限,本科
go后端开发工程师,golang,天河区,20000-35000,5-10年,本科
初、中级GO开发（双休）,golang,天河区,8000-13000,经验不限,本科
Golang开发工程师,golang,黄埔区,8000-13000,1-3年,本科
Golang开发工程师,golang,黄埔区,15000-30000,经验不限,本科
Golang后端研发工程师,golang,海珠区,10000-15000,1-3年,大专
Golang主程/专家,golang,广州,35000-60000,5-10年,大专
DAPP开发工程师,golang,海珠区,20000-30000,5-10年,本科
游戏业务中台服务端研发(高级)工程师,golang,天河区,30000-60000,经验不限,本科
资深go开发工程师,golang,天河区,25000-40000,5-10年,本科
Golang,golang,天河区,12000-20000,1-3年,大专
Rust开发工程师,golang,海珠区,8000-12000,经验不限,学历不限
Golang,golang,天河区,10000-12000,1-3年,大专
fabric开发工程师,golang,海珠区,15000-20000,1-3年,本科
go服务端开发工程师,golang,广州,12000-20000,3-5年,学历不限
Java,java,广州,20000-21000,3-5年,本科
Java开发（广州建行）,java,天河区,13000-15000,3-5年,本科
Java开发工程师,java,白云区,8000-10000,3-5年,本科
Java后台开发工程师,java,黄埔区,10000-15000,3-5年,本科
Java,java,天河区,9000-13000,3-5年,大专
Java-驻场-广州【农行】,java,番禺区,16000-17000,3-5年,本科
Java高级工程师,java,番禺区,16000-28000,3-5年,本科
中级java开发工程师【双休】,java,广州,13000-18000,3-5年,本科
java开发(统招大专）,java,海珠区,13000-14000,3-5年,大专
软件开发工程师,java,白云区,18000-35000,3-5年,本科
java开发工程师,java,天河区,11000-19000,3-5年,本科
高级 java,java,广州,35000-60000,3-5年,本科
资深java开发工程师,java,广州,25000-50000,3-5年,本科
java 大数据开发,java,天河区,12000-18000,3-5年,大专
Java工程师,java,海珠区,13000-20000,3-5年,本科
海外后端研发工程师,java,海珠区,15000-20000,3-5年,本科
Java开发工程师,java,广州,12000-16000,3-5年,大专
Java开发工程师 (MJ000010),java,海珠区,8000-13000,3-5年,大专
Java开发工程师（地点在东莞，介意勿投）,java,黄埔区,12000-15000,3-5年,本科
Java开发后端,java,广州,15000-25000,3-5年,本科
JAVA,java,广州,11000-16000,3-5年,本科
中级java开发工程师,java,天河区,12000-18000,3-5年,本科
高级java开发（广告业务方向）,java,天河区,16000-25000,3-5年,本科
java-银行/双休/六险一金,java,天河区,12000-17000,3-5年,本科
java中级开发工程师,java,番禺区,10000-11000,3-5年,大专
Java后台开发工程师,java,天河区,9000-14000,3-5年,本科
web后台开发工程师,java,黄埔区,20000-30000,3-5年,本科
Java开发工程师（广发基金）,java,天河区,14000-16000,3-5年,本科
印刷跟单员,java,番禺区,5000-7000,3-5年,中专/中技
Java开发工程师,java,天河区,13000-16000,3-5年,大专
初级java,java,白云区,5000-9000,3-5年,大专
Java开发工程师,java,天河区,12000-20000,3-5年,大专
java开发工程师,java,天河区,10000-15000,3-5年,本科
Java开发（远程面试+轻松稳定+易面过）,java,荔湾区,9000-11000,3-5年,本科
资深java开发工程师,java,天河区,8000-12000,3-5年,大专
用友NC开发工程师,java,黄埔区,10000-15000,3-5年,本科
Java开发经理,java,天河区,22000-25000,3-5年,本科
后端开发工程师,java,天河区,15000-22000,3-5年,本科
Java开发工程师,java,黄埔区,15000-20000,3-5年,本科
Java开发工程师 (MJ000008),java,黄埔区,15000-25000,3-5年,本科
Java中高级开发工程师,java,越秀区,15000-20000,3-5年,本科
资深java开发工程师,java,广州,25000-40000,3-5年,本科
java中级开发工程师,java,白云区,11000-13000,3-5年,本科
中级java开发工程师,java,黄埔区,15000-20000,3-5年,本科
央企正编！Java开发工程师 福利多稳定,java,广州,20000-35000,3-5年,本科
Java（香港项目）,java,广州,15000-25000,3-5年,本科
JAVA开发工程师,java,海珠区,7000-8000,3-5年,大专
Java,java,海珠区,11000-20000,3-5年,本科
Java开发组长,java,天河区,13000-18000,3-5年,大专
Java中级开发工程师,java,天河区,12000-20000,3-5年,本科
java开发工程师,java,天河区,14000-17000,3-5年,大专
中高级Java开发工程师,java,番禺区,15000-25000,3-5年,本科
Java大数据开发,java,黄埔区,12000-20000,3-5年,本科
java开发工程师,java,黄埔区,9000-12000,3-5年,本科
java高级开发工程师,java,海珠区,15000-20000,3-5年,本科
JAVA高级开发工程师,java,天河区,15000-22000,3-5年,本科
研发高级工程师(A90324),java,天河区,18000-28000,3-5年,本科
Java,java,南沙区,12000-15000,3-5年,本科
高级JAVA后端开发工程师 (MJ003444),java,广州,15000-25000,3-5年,本科
java工程师,java,白云区,10000-12000,3-5年,大专
高级/资深Java开发工程师,java,番禺区,20000-40000,3-5年,本科
JAVA开发工程师,java,越秀区,10000-15000,3-5年,本科
Java,java,天河区,10000-15000,3-5年,本科
高级Java开发工程师,java,南沙区,10000-15000,3-5年,大专
中级java开发工程师,java,海珠区,11000-20000,3-5年,本科
Java高级研发工程师,java,番禺区,13000-25000,3-5年,本科
Java开发工程师,java,天河区,12000-20000,3-5年,本科
web开发和部署工程师,java,黄埔区,20000-30000,3-5年,本科
后端开发工程师,java,黄埔区,11000-17000,3-5年,本科
Java研发工程师,java,广州,15000-25000,3-5年,本科
中级java开发工程师,java,天河区,12000-20000,3-5年,本科
Java技术合伙人,java,黄埔区,15000-20000,3-5年,本科
软件工程师（OA系统/网贷信贷系统）,java,番禺区,14000-17000,3-5年,本科
手游服务端开发工程师,java,黄埔区,15000-20000,3-5年,本科
java开发工程师(中高级),java,天河区,12000-24000,3-5年,本科
Java,java,黄埔区,300-800,3-5年,大专
java全栈工程师,java,海珠区,8000-13000,3-5年,本科
Java开发主管,java,天河区,20000-25000,3-5年,本科
java游戏服务端,java,天河区,15000-20000,3-5年,本科
【广州】高级/资深JAVA工程师,java,番禺区,20000-35000,3-5年,本科
中级java开发工程师,java,广州,15000-25000,3-5年,本科
高级java开发工程师,java,荔湾区,11000-16000,3-5年,本科
资深研发工程师,java,天河区,30000-50000,3-5年,本科
中高级java工程师,java,黄埔区,10000-15000,3-5年,本科
Java开发/双休/全额公积金,java,天河区,12000-13000,3-5年,本科
Java开发工程师,java,白云区,13000-16000,3-5年,本科
java工程师/高校教师,java,白云区,6000-11000,3-5年,本科
Java,java,天河区,15000-25000,3-5年,本科
Java,java,广州,35000-40000,3-5年,本科
Java开发工程师,java,天河区,12000-16000,3-5年,本科
Java开发工程师,java,天河区,12000-16000,3-5年,本科
物联网开发工程师,java,海珠区,10000-15000,3-5年,大专
Java开发工程师,java,广州,25000-50000,3-5年,本科
NCC开发,java,天河区,10000-15000,3-5年,本科
JAVA开发,java,天河区,10000-14000,3-5年,本科
java开发,java,天河区,8000-13000,3-5年,本科
搜索推荐开发工程师,java,海珠区,20000-40000,3-5年,本科
高级Java开发工程师 【珠江新城】,java,天河区,15000-25000,3-5年,本科
java开发工程师,java,天河区,15000-30000,3-5年,本科
java开发工程师,java,天河区,13000-16000,3-5年,本科
后端开发工程师（广州）(J10478),java,天河区,15000-25000,3-5年,本科
Java 开发工程师,java,海珠区,13000-22000,3-5年,本科
java开发工程师,java,天河区,13000-20000,3-5年,本科
Java中级开发工程师,java,白云区,10000-12000,3-5年,大专
Java（佛山办公、双休线上面、企业级应用）,java,黄埔区,15000-18000,3-5年,本科
Java后台开发工程师,java,广州,11000-20000,3-5年,本科
Java后端（区块链+AI）,java,海珠区,25000-40000,3-5年,本科
Java开发-无限极,java,白云区,11000-13000,3-5年,大专
Java,java,海珠区,550-600,3-5年,本科
JAVA开发工程师,java,广州,11000-15000,3-5年,本科
Java医疗软件开发工程师,java,天河区,8000-11000,3-5年,大专
java开发工程师,java,天河区,9000-12000,3-5年,本科
电商JAVA中高级开发工程师,java,天河区,12000-18000,3-5年,本科
java（电商经验）,java,广州,10000-12000,3-5年,本科
中级软件工程师,java,荔湾区,7000-10000,3-5年,大专
Java中级开发工程师,java,天河区,10000-15000,3-5年,本科
Java,java,天河区,10000-15000,3-5年,本科
新能源JAVA开发工程师,java,广州,12000-20000,3-5年,大专
Java中级开发工程师,java,天河区,6000-11000,3-5年,本科
java开发工程师,java,天河区,15000-25000,3-5年,本科
项目驻点开发,java,海珠区,8000-12000,3-5年,本科
Java（广州）,java,番禺区,11000-12000,3-5年,本科
Java开发工程师,java,天河区,14000-15000,3-5年,本科
服务端开发工程师（unisdk),java,广州,45000-50000,3-5年,本科
低代码开发工程师（Java/.Net）,java,天河区,12000-22000,3-5年,本科
后端开发工程师,java,南沙区,9000-14000,3-5年,本科
Java后端开发工程师（大厂，流程快）,java,广州,25000-45000,3-5年,本科
java后端工程师,java,海珠区,7000-12000,3-5年,本科
java开发工程师-九,java,广州,10000-13000,3-5年,本科
银行直签-java研发工程师,java,广州,30000-45000,3-5年,本科
Java（广州）,java,广州,25000-26000,3-5年,本科
Java研发工程师,java,黄埔区,8000-13000,3-5年,本科
后端研发工程师（双休包吃+六险一金）,java,天河区,10000-15000,3-5年,本科
java开发工程师,java,白云区,11000-20000,3-5年,本科
鞋服OMS/ERP/WMS Java+PHP开发,java,天河区,10000-12000,3-5年,大专
高级java开发工程师,java,天河区,20000-25000,3-5年,本科
金蝶云星空接口开发,java,白云区,10000-15000,3-5年,大专
中级java开发工程师,java,越秀区,8000-10000,3-5年,本科
Java-外包-有mes项目经验,java,广州,15000-25000,3-5年,大专
Java开发工程师（广州-银行项目）,java,天河区,18000-22000,3-5年,本科
中级java开发工程师,java,海珠区,8000-11000,3-5年,本科
java研发工程师,java,天河区,11000-16000,3-5年,本科
非常紧急-资深后端开发工程师（广州）,java,广州,20000-35000,3-5年,本科
java中级开发工程师,java,黄埔区,10000-15000,3-5年,大专
Java开发,java,番禺区,11000-18000,3-5年,本科
高级java研发工程师,java,番禺区,12000-18000,3-5年,大专
Java/python开发工程师（大模型应用方向）,java,黄埔区,14000-19000,3-5年,本科
Java,java,天河区,12000-24000,3-5年,本科
中级java开发工程师,java,天河区,13000-18000,3-5年,本科
Java软件研发工程师,java,广州,18000-29000,3-5年,本科
java后端开发工程师,java,黄埔区,18000-30000,3-5年,本科
Java高级工程师,java,天河区,15000-30000,3-5年,本科
java高级开发工程师,java,天河区,16000-25000,3-5年,本科
Java/全栈开发工程师,java,天河区,15000-23000,3-5年,本科
中级Java开发工程师,java,天河区,10000-15000,3-5年,本科
Java开发,java,天河区,13000-15000,3-5年,大专
高级全栈开发工程师（vue和java必须都会）,java,黄埔区,15000-20000,3-5年,本科
java高级软件工程师,java,天河区,15000-20000,3-5年,本科
java开发,java,黄埔区,10000-12000,3-5年,本科
Java开发工程师（驻阿联酋）,java,天河区,15000-30000,3-5年,本科
JAVA开发+统专,java,海珠区,9000-11000,3-5年,大专
java开发工程师(日语 ),java,天河区,18000-35000,3-5年,大专
java工程师-base深圳,java,广州,20000-23000,3-5年,本科
java中级工程师,java,天河区,8000-12000,3-5年,本科
Java软件开发工程师,java,广州,15000-25000,3-5年,本科
高级java开发,java,番禺区,25000-50000,3-5年,本科
Java开发工程师,java,天河区,11000-18000,3-5年,本科
中级java开发工程师,java,越秀区,10000-15000,3-5年,本科
Java游戏服务端,java,海珠区,14000-18000,3-5年,大专
Java开发工程师,java,天河区,12000-15000,3-5年,大专
java中级开发工程师,java,黄埔区,10000-13000,3-5年,大专
后端开发工程师（学信网本科）,java,天河区,12000-14000,3-5年,大专
高级后台开发工程师,java,海珠区,20000-35000,3-5年,本科
后台开发工程师,java,番禺区,15000-30000,3-5年,本科
JAVA工程师,java,天河区,11000-13000,3-5年,本科
java中级开发工程师,java,天河区,13000-17000,3-5年,本科
Java工程师（京东+视频面试）,java,天河区,13000-15000,3-5年,本科
中/高级java开发工程师,java,黄埔区,15000-25000,3-5年,本科
Java开发工程师（银行/英文）,java,黄埔区,15000-25000,3-5年,本科
高级软件开发工程师,java,广州,18000-30000,3-5年,本科
后端工程师,java,广州,60000-75000,3-5年,本科
Java开发工程师,java,海珠区,12000-18000,3-5年,本科
大数据平台开发工程师（计算引擎方向）,java,广州,25000-40000,3-5年,本科
中/高级java开发工程师,java,番禺区,500-700,3-5年,本科
Java开发工程师,java,海珠区,10000-14000,3-5年,大专
高级java开发,java,黄埔区,10000-15000,3-5年,本科
java开发工程师,java,越秀区,13000-20000,3-5年,大专
java,java,广州,20000-40000,3-5年,本科
java开发工程师,java,海珠区,15000-23000,3-5年,大专
国企-Java研发工程师,java,广州,20000-30000,3-5年,本科
JAVA开发工程师,java,海珠区,10000-15000,3-5年,本科
java（外企英语流利）,java,黄埔区,16000-21000,3-5年,本科
Java开发工程师（双休 线上面试）,java,天河区,12000-18000,3-5年,本科
中高级java后端开发,java,黄埔区,11000-16000,3-5年,大专
程序开发,java,番禺区,12000-20000,3-5年,大专
Java,java,黄埔区,8000-12000,3-5年,本科
软件技术讲师,java,从化区,10000-13000,3-5年,本科
初中级java（农行）,java,番禺区,11000-16000,3-5年,本科
前端后端鸿蒙（可培训/有经验的)可合作,java,黄埔区,11000-20000,3-5年,大专
Java,java,番禺区,15000-25000,3-5年,本科
java高级开发工程师,java,番禺区,12000-18000,3-5年,本科
JAVA后端开发,java,番禺区,15000-20000,3-5年,本科
Java高级工程师,java,天河区,11000-22000,3-5年,本科
erp软件开发工程师,java,黄埔区,10000-14000,3-5年,本科
java开发工程师,java,广州,20000-40000,3-5年,本科
Java全栈/后端开发工程师,java,黄埔区,15000-20000,3-5年,本科
后端开发工程师,java,天河区,25000-40000,3-5年,本科
信息系统技术员,java,花都区,10000-15000,3-5年,本科
Java开发工程师,java,黄埔区,10000-15000,3-5年,本科
高级java开发工程师（人力、行政方向）,java,荔湾区,14000-22000,3-5年,本科
中级java开发工程师,java,黄埔区,8000-12000,3-5年,本科
（银行项目+周末双休）JAVA开发工程师,java,番禺区,15000-20000,3-5年,本科
中级java开发工程师,java,番禺区,12000-18000,3-5年,本科
高级/资深java开发工程师,java,海珠区,20000-30000,3-5年,本科
Java工程师,java,广州,11000-14000,3-5年,本科
Java 开发工程师,java,天河区,12000-17000,3-5年,大专
Java开发工程师,java,黄埔区,10000-13000,3-5年,大专
java开发工程师,java,海珠区,8000-12000,3-5年,本科
Java,java,天河区,13000-22000,3-5年,本科
java,java,广州,17000-25000,3-5年,本科
Java,java,天河区,9000-13000,3-5年,本科
Java,java,黄埔区,15000-16000,3-5年,本科
高级后台开发工程师,java,广州,15000-30000,3-5年,大专
数据安全工程师,java,天河区,14000-28000,3-5年,本科
Java开发-外包珠海工行-学历学信 MJ000643,java,天河区,14000-16000,3-5年,本科
中级java开发工程师,java,番禺区,10000-15000,3-5年,大专
java开发,java,天河区,12000-16000,3-5年,本科
Senior Software Engineer,java,广州,20000-30000,3-5年,本科
java高级开发工程师-电商业务（大厂）,java,广州,25000-50000,3-5年,本科
知名外企-软件开发工程师,java,天河区,13000-25000,3-5年,本科
Java开发（电商）,java,天河区,10000-13000,3-5年,本科
初级java开发工程师,java,越秀区,6000-10000,3-5年,本科
java后端开发,java,越秀区,10000-15000,3-5年,本科
资深java工程师,java,黄埔区,18000-30000,3-5年,本科
Java开发工程师,java,天河区,11000-20000,3-5年,本科
java全栈工程师,java,增城区,11000-15000,3-5年,大专
java  go中级开发工程师,java,天河区,9000-13000,3-5年,大专
中/高级java开发工程师,java,天河区,10000-15000,3-5年,本科
Java开发工程师 (Base珠海),java,广州,11000-20000,3-5年,本科
Java开发工程师,java,天河区,13000-18000,3-5年,本科
Java软件工程师,java,黄埔区,12000-20000,3-5年,大专
java项目经理,java,广州,9000-14000,3-5年,大专
java开发工程师【交通/地图】,java,广州,13000-15000,3-5年,本科
Java开发工程师,java,天河区,13000-19000,3-5年,本科
后端开发工程师,java,黄埔区,8000-12000,3-5年,本科
中级java开发工程师,java,天河区,10000-13000,3-5年,本科
Java开发工程师【东莞工作，银行项目】,java,黄埔区,10000-15000,3-5年,本科
高级Java工程师,java,番禺区,8000-13000,3-5年,本科
Java开发工程师,java,海珠区,10000-11000,3-5年,本科
高级java开发工程师,java,荔湾区,10000-15000,3-5年,本科
JAVA（短期驻场三个月）,java,白云区,12000-13000,3-5年,本科
信息系统开发工程师 (MJ000397),java,黄埔区,11000-17000,3-5年,本科
Java开发工程师,java,天河区,11000-18000,3-5年,本科
大数据平台后端,java,广州,25000-35000,3-5年,本科
Mule Developer - Guangzhou,java,天河区,15000-25000,3-5年,本科
java开发工程师,java,黄埔区,12000-18000,3-5年,大专
Java工程师,java,海珠区,9000-14000,3-5年,本科
java后端工程师,java,天河区,13000-20000,3-5年,大专
java后端开发工程师,java,天河区,15000-20000,3-5年,本科
中高级后端工程师,java,荔湾区,9000-14000,3-5年,本科
Java,java,白云区,9000-10000,3-5年,本科
java开发工程师,java,番禺区,12000-18000,3-5年,本科
Java开发工程师 (MJ000152),java,白云区,12000-16000,3-5年,大专
Java软件研发工程师-国企-劳务派遣,java,广州,20000-25000,3-5年,本科
中/高级java开发工程师,java,天河区,7000-12000,3-5年,本科
